指标名称,钢材价格指数:螺纹钢:Φ12-25,收盘价:螺纹指数,热卷:中国:市场价,收盘价:热卷指数
2009/11/20,105.97,4199.72 ,567,
2009/11/23,,4263.10 ,,
2009/11/24,,4215.62 ,,
2009/11/25,,4258.42 ,,
2009/11/26,,4245.14 ,,
2009/11/27,106.82,4114.59 ,562,
2009/11/30,,4190.70 ,,
2009/12/1,,4192.23 ,,
2009/12/2,,4219.82 ,,
2009/12/3,,4229.21 ,,
2009/12/4,106.71,4231.76 ,565,
2009/12/7,,4236.78 ,,
2009/12/8,,4201.22 ,,
2009/12/9,,4161.72 ,,
2009/12/10,,4229.00 ,557,
2009/12/11,107.25,4291.25 ,,
2009/12/14,,4328.93 ,,
2009/12/15,,4303.76 ,,
2009/12/16,,4308.69 ,,
2009/12/17,,4306.27 ,562,
2009/12/18,107.19,4299.20 ,,
2009/12/21,,4336.94 ,,
2009/12/22,,4333.80 ,,
2009/12/23,,4337.90 ,,
2009/12/24,,4394.77 ,569,
2009/12/25,107.99,4395.31 ,,
2009/12/28,,4464.18 ,,
2009/12/29,,4439.66 ,,
2009/12/30,,4427.18 ,575,
2009/12/31,109.32,4450.85 ,,
2010/1/4,,4517.99 ,,
2010/1/5,,4533.12 ,,
2010/1/6,,4572.94 ,,
2010/1/7,,4463.67 ,,
2010/1/8,111.85,4455.07 ,584,
2010/1/11,,4519.17 ,,
2010/1/12,,4513.43 ,,
2010/1/13,,4428.08 ,,
2010/1/14,,4444.41 ,,
2010/1/15,112.33,4386.62 ,584,
2010/1/18,,4413.64 ,,
2010/1/19,,4406.99 ,,
2010/1/20,,4389.29 ,,
2010/1/21,,4381.20 ,,
2010/1/22,111.34,4311.27 ,565,
2010/1/25,,4302.32 ,,
2010/1/26,,4294.11 ,,
2010/1/27,,4340.72 ,560,
2010/1/28,,4319.28 ,,
2010/1/29,110.83,4329.01 ,,
2010/2/1,,4324.06 ,,
2010/2/2,,4200.49 ,,
2010/2/3,,4227.43 ,,
2010/2/4,,4168.88 ,,
2010/2/5,110.12,4161.85 ,565,
2010/2/8,,4183.60 ,,
2010/2/9,,4208.88 ,,
2010/2/10,,4264.16 ,567,
2010/2/11,,4288.28 ,,
2010/2/12,109.66,4357.57 ,,
2010/2/20,,,567,
2010/2/22,,4313.66 ,,
2010/2/23,,4364.06 ,,
2010/2/24,,4345.81 ,,
2010/2/25,,4328.05 ,579,
2010/2/26,110.6,4353.97 ,,
2010/3/1,,4395.72 ,,
2010/3/2,,4351.83 ,,
